id,attack_cat
0,Normal
1,Fuzzers
2,Exploits
3,Fuzzers
4,Normal
5,Generic
6,Generic
7,Fuzzers
8,Normal
9,Fuzzers
10,Generic
11,Normal
12,Exploits
13,DoS
14,Fuzzers
15,Generic
16,Normal
17,Normal
18,Reconnaissance
19,Exploits
20,Generic
21,Generic
22,DoS
23,Generic
24,Normal
25,Exploits
26,DoS
27,Exploits
28,Generic
29,Generic
30,Normal
31,Exploits
32,Exploits
33,Normal
34,Exploits
35,Normal
36,Exploits
37,Exploits
38,Exploits
39,Exploits
40,Normal
41,Generic
42,Generic
43,Generic
44,Exploits
45,Exploits
46,Normal
47,Normal
48,Generic
49,Generic
50,Fuzzers
51,Shellcode
52,Normal
53,Fuzzers
54,Fuzzers
55,Normal
56,Fuzzers
57,Generic
58,Normal
59,Normal
60,Fuzzers
61,Generic
62,Normal
63,Exploits
64,Generic
65,Normal
66,Normal
67,Exploits
68,Generic
69,Normal
70,Normal
71,Generic
72,Normal
73,Generic
74,Fuzzers
75,Generic
76,Fuzzers
77,DoS
78,DoS
79,Normal
80,Normal
81,Normal
82,Reconnaissance
83,Backdoor
84,DoS
85,Reconnaissance
86,Reconnaissance
87,Reconnaissance
88,Reconnaissance
89,Exploits
90,Normal
91,Normal
92,Generic
93,DoS
94,Generic
95,Normal
96,Normal
97,Normal
98,Exploits
99,Normal
100,Normal
101,Reconnaissance
102,Generic
103,Fuzzers
104,Fuzzers
105,Generic
106,Exploits
107,Exploits
108,Normal
109,Exploits
110,Exploits
111,Exploits
112,Exploits
113,Exploits
114,Generic
115,Exploits
116,Normal
117,Generic
118,Generic
119,Generic
120,Fuzzers
121,Normal
122,Fuzzers
123,Fuzzers
124,Normal
125,Generic
126,Generic
127,Normal
128,Exploits
129,Normal
130,Fuzzers
131,Normal
132,DoS
133,Normal
134,Normal
135,Normal
136,Normal
137,Reconnaissance
138,Exploits
139,Normal
140,Generic
141,Exploits
142,Normal
143,Normal
144,Normal
145,Normal
146,Normal
147,Normal
148,Normal
149,Backdoor
150,Normal
151,Normal
152,Normal
153,Normal
154,Fuzzers
155,Fuzzers
156,Normal
157,Normal
158,Exploits
159,Exploits
160,Reconnaissance
161,Fuzzers
162,Exploits
163,Normal
164,DoS
165,Generic
166,Normal
167,Normal
168,Exploits
169,Normal
170,Normal
171,Fuzzers
172,Generic
173,Normal
174,Fuzzers
175,Normal
176,Generic
177,Generic
178,Exploits
179,Normal
180,Normal
181,Normal
182,Normal
183,Generic
184,Generic
185,Exploits
186,Normal
187,Generic
188,Fuzzers
189,Normal
190,Exploits
191,Exploits
192,Generic
193,Generic
194,Normal
195,Normal
196,Generic
197,Generic
198,Exploits
199,Generic
200,Exploits
201,Fuzzers
202,Normal
203,Generic
204,Generic
205,Exploits
206,Exploits
207,Fuzzers
208,Normal
209,Exploits
210,Normal
211,Normal
212,Analysis
213,Generic
214,Fuzzers
215,Exploits
216,Generic
217,Generic
218,Generic
219,Generic
220,Exploits
221,Exploits
222,Exploits
223,DoS
224,Normal
225,Fuzzers
226,Normal
227,Generic
228,Generic
229,Fuzzers
230,Generic
231,Normal
232,Exploits
233,Normal
234,Exploits
235,Generic
236,Exploits
237,Fuzzers
238,Generic
239,Fuzzers
240,Generic
241,Reconnaissance
242,Exploits
243,Normal
244,Normal
245,Exploits
246,Normal
247,Generic
248,Normal
249,Exploits
250,Generic
251,Generic
252,Normal
253,Normal
254,Normal
255,Normal
256,Generic
257,DoS
258,Exploits
259,Generic
260,Normal
261,Reconnaissance
262,Normal
263,Generic
264,Generic
265,Exploits
266,Normal
267,Fuzzers
268,Fuzzers
269,Generic
270,Fuzzers
271,Exploits
272,Reconnaissance
273,Exploits
274,Generic
275,Fuzzers
276,Exploits
277,Exploits
278,Exploits
279,Fuzzers
280,Reconnaissance
281,Exploits
282,Exploits
283,Reconnaissance
284,Generic
285,Exploits
286,Generic
287,Fuzzers
288,Backdoor
289,Generic
290,Generic
291,Analysis
292,Reconnaissance
293,Normal
294,Exploits
295,Generic
296,Normal
297,Exploits
298,Exploits
299,Normal
300,Normal
301,Fuzzers
302,Normal
303,Generic
304,Fuzzers
305,Normal
306,DoS
307,Generic
308,Generic
309,Generic
310,Normal
311,Normal
312,Normal
313,Exploits
314,Generic
315,Normal
316,Fuzzers
317,Generic
318,Normal
319,Fuzzers
320,Generic
321,Normal
322,Normal
323,Exploits
324,Normal
325,Backdoor
326,Exploits
327,Exploits
328,Exploits
329,Normal
330,Generic
331,Normal
332,Normal
333,Normal
334,Generic
335,DoS
336,Normal
337,Exploits
338,Generic
339,Normal
340,Normal
341,Fuzzers
342,Normal
343,Exploits
344,Fuzzers
345,Normal
346,Normal
347,Generic
348,Shellcode
349,Normal
350,Exploits
351,Normal
352,Exploits
353,Generic
354,Fuzzers
355,Fuzzers
356,DoS
357,Exploits
358,Exploits
359,Exploits
360,Exploits
361,Generic
362,Exploits
363,Normal
364,Normal
365,Exploits
366,Fuzzers
367,Normal
368,DoS
369,Fuzzers
370,Normal
371,Normal
372,Normal
373,DoS
374,Generic
375,Generic
376,Normal
